OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
07RV,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32GUN,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A&B HANDS, FEET, ETC.  - MED. ATTENTION REQ.",13B,13B Simple assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&B ON POLICE OFFICER,13B,13B Simple assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABDUCTION - INTICING,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFFRAY,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGGRAVATED ASSAULT,13A,13A Aggravated assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRCRAFT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRCRAFT INCIDENTS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIMAL ABUSE,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIMAL CONTROL - DOG BITES - ETC.,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIMAL INCIDENTS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNOYING AND ACCOSTIN,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNOYING AND ACCOSTING,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGUE,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARREST,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARSON,200,200 Arson,Arson,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT - AGGRAVATED,13A,13A Aggravated assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT - AGGRAVATED - BATTERY,13A,13A Aggravated assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT - SIMPLE,13B,13B Simple assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT & BATTERY,13B,13B Simple assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT & BATTERY D/W - KNIFE,13A,13A Aggravated assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT & BATTERY D/W - OTHER,13A,13A Aggravated assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT & BATTERY D/W - OTHER ON POLICE OFFICER,13A,13A Aggravated assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT D/W - KNIFE ON POLICE OFFICER,13A,13A Aggravated assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
